timestamp,chunk_size,chunk_overlap,top_k,temperature,relevance_threshold,sigmoid_midpoint,sigmoid_steepness,avg_response_time_sec,total_tokens,estimated_cost_usd,mode_rag_count,mode_no_answer_count,mode_off_topic_count,mode_error_count,avg_relevance_score,avg_rag_score,avg_rag_specificity,avg_rag_relevance,avg_rag_factuality,rel_mean_pos,rel_mean_neg,rel_gap,rel_margin,notes
12/10/25 15:05,3000,500,4,0.2,0.55,0.45,8,16.37,827,$0.00 ,3,2,1,0,0.659,7.33,7.67,8,6.33,0.775,0.512,0.264,0.201,Strict RAG Evaluation: 3/6 answered.
12/10/25 15:10,3000,500,4,0.2,0.55,0.45,10,14.66,781,$0.00 ,3,2,1,0,0.69,8.5,8.5,9.5,7.5,0.825,0.515,0.31,0.234,Strict RAG Evaluation: 2/6 answered.
12/10/25 15:14,3000,500,4,0.2,0.55,0.45,12,13.96,697,$0.00 ,3,2,1,0,0.717,8.67,8.5,9.5,8,0.865,0.517,0.347,0.259,Strict RAG Evaluation: 2/6 answered.
12/10/25 15:17,3000,500,4,0.2,0.55,0.45,14,16.13,972,$0.00 ,3,2,1,0,0.74,9,9,10,8,0.897,0.52,0.377,0.277,Strict RAG Evaluation: 2/6 answered.
12/10/25 15:21,3000,500,4,0.2,0.55,0.45,16,15.33,868,$0.00 ,3,2,1,0,0.758,8.17,8,9,7.5,0.922,0.523,0.399,0.288,Strict RAG Evaluation: 2/6 answered.
12/10/25 15:24,3000,500,4,0.2,0.55,0.45,18,15.83,934,$0.00 ,3,2,1,0,0.774,8,8,8.33,7.67,0.942,0.525,0.416,0.294,Strict RAG Evaluation: 3/6 answered.
12/10/25 15:29,3000,500,4,0.2,0.55,0.45,20,15.24,861,$0.00 ,3,2,1,0,0.787,7.33,7.67,8,6.33,0.956,0.528,0.429,0.296,Strict RAG Evaluation: 3/6 answered.
12/10/25 15:33,3000,500,4,0.2,0.55,0.48,8,11.53,597,$0.00 ,2,2,2,0,0.607,7.67,8,8.33,6.67,0.731,0.453,0.278,0.214,Strict RAG Evaluation: 3/6 answered.
12/10/25 15:36,3000,500,4,0.2,0.55,0.48,10,12.45,726,$0.00 ,2,2,2,0,0.629,7.67,8,8.33,6.67,0.777,0.441,0.336,0.258,Strict RAG Evaluation: 3/6 answered.
12/10/25 15:40,3000,500,4,0.2,0.55,0.48,12,14.16,937,$0.00 ,3,1,2,0,0.649,8.33,8.33,9.33,7.33,0.817,0.43,0.387,0.297,Strict RAG Evaluation: 3/6 answered.
